Category,Amount
Investment,128614.88
Account transfer,84000.0
Mortgage,56392.7
Bills,43269.55
Cash,27661.98
Savings,26682.96
Services,23916.31
Amazon,21271.45
Travel,19164.29
Home Improvement,18369.52
Hotels,12399.73
Groceries,11368.18
Others,10354.02
Other Shopping,6895.75
Dine Out,6794.53
Insurance,4851.21
Entertainment,2818.42
Clothes,971.63
Services/Home Improvement,895.0
Fitness,775.84
Safety Deposit Return,650.0
Groceries ,535.8199999999999
Supplementary Income,394.88
Rent,178.8
Health,50.0
Purchase of uk.eg.org,45.75
Food Shopping,4.52
